id,backendId,symbol,direction,entryDate,exitDate,entryPrice,exitPrice,result,pnl
456,trade_736,ETH/USD,SHORT,2026-07-24T19:50:29.000Z,2026-07-24T19:51:29.000Z,4368.468904267231,4355.363497554429,win,5.999999999999956
457,trade_737,ETH/USD,SHORT,2026-07-24T19:51:30.000Z,2026-07-24T19:52:30.000Z,4352.953062034697,4339.894202848593,win,6.000000000000051
458,trade_739,ETH/USD,SHORT,2026-07-24T19:53:30.000Z,2026-07-24T19:54:30.000Z,4338.913686016311,4345.422056545335,loss,-2.9999999999999845
459,trade_740,ETH/USD,SHORT,2026-07-24T19:54:30.000Z,2026-07-24T19:55:30.000Z,4349.493629309187,4356.017869753151,loss,-3.0000000000001554
460,trade_742,ETH/USD,SHORT,2026-07-24T19:56:31.000Z,2026-07-24T19:57:31.000Z,4362.292953194493,4368.836392624285,loss,-3.0000000000000098
461,trade_746,ETH/USD,LONG,2026-07-24T20:00:32.000Z,2026-07-24T20:01:32.000Z,4387.893241765431,4381.3114019027835,loss,-2.999999999999905
462,trade_747,ETH/USD,SHORT,2026-07-24T20:01:32.000Z,2026-07-24T20:02:32.000Z,4384.639593628708,4371.485674847822,win,5.999999999999835
463,trade_757,ETH/USD,LONG,2026-07-24T20:11:35.000Z,2026-07-24T20:12:35.000Z,4336.4661112561525,4349.475509589921,win,5.999999999999942
464,trade_758,ETH/USD,LONG,2026-07-24T20:12:35.000Z,2026-07-24T20:13:35.000Z,4348.783411208113,4361.829761441737,win,5.999999999999961
465,trade_759,ETH/USD,LONG,2026-07-24T20:13:35.000Z,2026-07-24T20:14:35.000Z,4355.252364809344,4348.71948626213,loss,-2.999999999999919
466,trade_760,ETH/USD,LONG,2026-07-24T20:14:35.000Z,2026-07-24T20:15:35.000Z,4358.263836350327,4351.726440595802,loss,-2.999999999999902
467,trade_764,ETH/USD,SHORT,2026-07-24T20:18:36.000Z,2026-07-24T20:19:36.000Z,4370.069849948892,4376.624954723815,loss,-2.999999999999921
468,trade_765,ETH/USD,SHORT,2026-07-24T20:19:36.000Z,2026-07-24T20:20:36.000Z,4385.895950574837,4392.474794500699,loss,-2.999999999999975
469,trade_768,ETH/USD,SHORT,2026-07-24T20:22:37.000Z,2026-07-24T20:23:37.000Z,4389.932640323921,4396.517539284408,loss,-3.000000000000281
470,trade_786,ETH/USD,LONG,2026-07-24T20:40:42.000Z,2026-07-24T20:41:42.000Z,4371.3944627852225,4364.837371091045,loss,-3.000000000000017
471,trade_792,ETH/USD,SHORT,2026-07-24T20:46:43.000Z,2026-07-24T20:47:43.000Z,4409.102796248044,4395.8754878593,win,5.999999999999917
472,,ETH/USD,SHORT,2026-07-24T21:29:53.000Z,2026-07-24T21:46:44.983Z,4435.928853776962,4435.928853776962,breakeven,0
473,trade_793,ETH/USD,LONG,2026-07-24T20:47:43.000Z,2026-07-24T20:48:43.000Z,4408.635016812799,4402.02206428758,loss,-2.9999999999999294
474,trade_795,ETH/USD,SHORT,2026-07-24T20:49:44.000Z,2026-07-24T20:50:44.000Z,4402.043351431344,4408.64641645849,loss,-2.99999999999992
475,trade_797,ETH/USD,LONG,2026-07-24T20:51:44.000Z,2026-07-24T20:52:44.000Z,4388.660712409824,4401.826694547052,win,5.999999999999621
476,trade_799,ETH/USD,LONG,2026-07-24T20:53:45.000Z,2026-07-24T20:54:45.000Z,4399.643212473137,4412.842142110556,win,5.999999999999625
477,trade_802,ETH/USD,SHORT,2026-07-24T20:56:45.000Z,2026-07-24T20:57:45.000Z,4403.075847759329,4410.151421159656,loss,-3.213923014261757
478,trade_807,ETH/USD,LONG,2026-07-24T21:01:47.000Z,2026-07-24T21:02:47.000Z,4423.102059880563,4436.387251066581,win,6.007182744671609
479,trade_809,ETH/USD,LONG,2026-07-24T21:03:47.000Z,2026-07-24T21:04:47.000Z,4443.476497923007,4436.811283176123,loss,-2.9999999999997593
480,trade_811,ETH/USD,LONG,2026-07-24T21:05:47.000Z,2026-07-24T21:06:47.000Z,4440.932774281952,4434.271375120529,loss,-3.00000000000008
481,trade_819,ETH/USD,SHORT,2026-07-24T21:13:49.000Z,2026-07-24T21:14:49.000Z,4387.093032883635,4393.67367243296,loss,-3.0000000000000204
482,trade_824,ETH/USD,LONG,2026-07-24T21:18:51.000Z,2026-07-24T21:19:51.000Z,4401.233834901415,4394.631984149063,loss,-3.0000000000000444
483,trade_826,ETH/USD,SHORT,2026-07-24T21:20:51.000Z,2026-07-24T21:21:51.000Z,4408.832808544117,4395.6063101184845,win,6.000000000000112
484,trade_833,ETH/USD,SHORT,2026-07-24T21:27:53.000Z,2026-07-24T21:28:53.000Z,4416.151045266374,4422.7752718342745,loss,-3.0000000000002998
485,trade_106,SOL/USD,SHORT,2026-07-24T09:18:08.000Z,2026-07-24T09:19:08.000Z,220.033241031965,220.36329089351295,loss,-3.0000000000001372
486,trade_109,SOL/USD,SHORT,2026-07-24T09:21:08.000Z,2026-07-24T09:22:08.000Z,219.95686660773268,220.2868019076443,loss,-3.0000000000002376
487,trade_110,SOL/USD,SHORT,2026-07-24T09:22:09.000Z,2026-07-24T09:23:09.000Z,220.0953281693333,220.42547116158732,loss,-3.0000000000002287
488,trade_115,SOL/USD,LONG,2026-07-24T09:27:10.000Z,2026-07-24T09:28:10.000Z,221.29513831936129,220.96319561188224,loss,-3.0000000000000187
489,trade_116,SOL/USD,SHORT,2026-07-24T09:28:10.000Z,2026-07-24T09:29:10.000Z,221.3836528061961,221.7157282854054,loss,-3
490,trade_119,SOL/USD,SHORT,2026-07-24T09:31:10.000Z,2026-07-24T09:32:10.000Z,221.4508630464895,221.78303934105924,loss,-3.0000000000000013
491,trade_128,SOL/USD,LONG,2026-07-24T09:40:12.000Z,2026-07-24T09:41:12.000Z,222.87217596023393,223.54079248811462,win,5.999999999999866
492,trade_148,SOL/USD,LONG,2026-07-24T10:00:17.000Z,2026-07-24T10:01:17.000Z,226.65712284399814,226.31713715973214,loss,-2.9999999999999996
493,trade_149,SOL/USD,LONG,2026-07-24T10:01:17.000Z,2026-07-24T10:02:17.000Z,226.6305873883871,226.29064150730454,loss,-2.999999999999911
494,trade_150,SOL/USD,LONG,2026-07-24T10:02:17.000Z,2026-07-24T10:03:17.000Z,226.03951600860478,226.71763455663057,win,5.999999999999813
495,trade_155,SOL/USD,LONG,2026-07-24T10:07:18.000Z,2026-07-24T10:08:18.000Z,227.12935565532527,227.81074372229122,win,5.999999999999782
496,trade_158,SOL/USD,LONG,2026-07-24T10:10:19.000Z,2026-07-24T10:11:19.000Z,227.99560571541687,227.65361230684377,loss,-2.9999999999998037
497,trade_160,SOL/USD,SHORT,2026-07-24T10:12:19.000Z,2026-07-24T10:13:19.000Z,227.75396960725936,228.09560056167027,loss,-3.0000000000001195
498,trade_161,SOL/USD,LONG,2026-07-24T10:13:20.000Z,2026-07-24T10:14:20.000Z,228.483235069405,228.1405102168009,loss,-2.9999999999999947
499,trade_178,SOL/USD,LONG,2026-07-24T10:30:23.000Z,2026-07-24T10:31:23.000Z,232.2472964735026,231.89892552879235,loss,-2.9999999999998797
500,trade_179,SOL/USD,LONG,2026-07-24T10:31:24.000Z,2026-07-24T10:32:24.000Z,232.36606451571828,232.01751541894473,loss,-2.9999999999997895
501,trade_183,SOL/USD,SHORT,2026-07-24T10:35:24.000Z,2026-07-24T10:36:24.000Z,232.5236826869257,232.8724682109561,loss,-3.0000000000001354
502,trade_185,SOL/USD,SHORT,2026-07-24T10:37:25.000Z,2026-07-24T10:38:25.000Z,233.29914190338107,232.59924447767094,win,5.999999999999919
503,trade_187,SOL/USD,SHORT,2026-07-24T10:39:25.000Z,2026-07-24T10:40:25.000Z,232.84908352063363,233.1983571459146,loss,-3.0000000000001856
504,trade_189,SOL/USD,SHORT,2026-07-24T10:41:26.000Z,2026-07-24T10:42:26.000Z,232.6358280132301,231.93792052919042,win,5.9999999999999885
505,trade_191,SOL/USD,SHORT,2026-07-24T10:43:26.000Z,2026-07-24T10:44:26.000Z,232.28892107470617,231.59205431148206,win,5.999999999999909
506,trade_192,SOL/USD,SHORT,2026-07-24T10:44:26.000Z,2026-07-24T10:45:26.000Z,231.90016483209533,232.24801507934347,loss,-3.000000000000031
507,trade_195,SOL/USD,LONG,2026-07-24T10:47:27.000Z,2026-07-24T10:48:27.000Z,232.09055623184568,231.74242039749794,loss,-2.9999999999997877
508,trade_196,SOL/USD,LONG,2026-07-24T10:48:27.000Z,2026-07-24T10:49:27.000Z,231.92765967762634,231.5797681881099,loss,-2.999999999999901
509,trade_197,SOL/USD,LONG,2026-07-24T10:49:27.000Z,2026-07-24T10:50:27.000Z,232.17176962211366,232.86828493097997,win,5.9999999999997335
510,trade_198,SOL/USD,LONG,2026-07-24T10:50:28.000Z,2026-07-24T10:51:28.000Z,232.76498070716093,232.4158332361002,loss,-2.999999999999798
511,trade_199,SOL/USD,LONG,2026-07-24T10:51:28.000Z,2026-07-24T10:52:28.000Z,232.00111660950049,231.65311493458626,loss,-2.999999999999816
512,trade_202,SOL/USD,LONG,2026-07-24T10:54:28.000Z,2026-07-24T10:55:28.000Z,232.18798015195813,232.884544092414,win,5.9999999999998765
513,trade_205,SOL/USD,SHORT,2026-07-24T10:57:29.000Z,2026-07-24T10:58:29.000Z,232.96537392535416,233.3148219862422,loss,-3.000000000000168
514,trade_206,SOL/USD,LONG,2026-07-24T10:58:29.000Z,2026-07-24T10:59:29.000Z,233.96595317019248,233.6150042404372,loss,-2.9999999999998925
515,trade_208,SOL/USD,SHORT,2026-07-24T11:00:30.000Z,2026-07-24T11:01:30.000Z,233.72634012297456,234.07692963315904,loss,-3.000000000000131
516,trade_209,SOL/USD,LONG,2026-07-24T11:01:30.000Z,2026-07-24T11:02:30.000Z,234.43657946540407,235.13988920380027,win,5.999999999999897
517,trade_210,SOL/USD,LONG,2026-07-24T11:02:30.000Z,2026-07-24T11:03:30.000Z,234.43366873686725,234.08201823376197,loss,-2.9999999999997873
518,trade_213,SOL/USD,LONG,2026-07-24T11:05:31.000Z,2026-07-24T11:06:31.000Z,234.30198131161976,235.0048872555546,win,5.999999999999813
519,trade_215,SOL/USD,SHORT,2026-07-24T11:07:31.000Z,2026-07-24T11:08:31.000Z,234.84865529467632,234.1441093287923,win,5.999999999999949
520,trade_218,SOL/USD,LONG,2026-07-24T11:10:32.000Z,2026-07-24T11:11:32.000Z,234.41827011767413,234.06664271249764,loss,-2.999999999999791
521,trade_219,SOL/USD,LONG,2026-07-24T11:11:32.000Z,2026-07-24T11:12:32.000Z,234.2411794800598,234.94390301849995,win,5.99999999999978
522,trade_236,SOL/USD,SHORT,2026-07-24T11:28:35.000Z,2026-07-24T11:29:35.000Z,237.041864647413,237.39742744438414,loss,-3.000000000000073
523,trade_239,SOL/USD,SHORT,2026-07-24T11:31:36.000Z,2026-07-24T11:32:36.000Z,238.51919812524562,237.8036405308699,win,5.999999999999893
524,trade_241,SOL/USD,LONG,2026-07-24T11:33:36.000Z,2026-07-24T11:34:36.000Z,237.89191647636224,238.6055922257913,win,5.999999999999757
525,trade_250,SOL/USD,SHORT,2026-07-24T11:42:39.000Z,2026-07-24T11:43:39.000Z,238.25642609696027,238.61381073610573,loss,-3.000000000000208
526,trade_251,SOL/USD,SHORT,2026-07-24T11:43:39.000Z,2026-07-24T11:44:39.000Z,238.5390959020587,238.8969045459118,loss,-3.000000000000138
527,trade_253,SOL/USD,LONG,2026-07-24T11:45:39.000Z,2026-07-24T11:46:39.000Z,238.9578359915147,239.67470949948924,win,5.999999999999849
528,trade_260,SOL/USD,LONG,2026-07-24T11:52:41.000Z,2026-07-24T11:53:41.000Z,241.5220558549779,241.15977277119546,loss,-2.9999999999998086
529,trade_263,SOL/USD,LONG,2026-07-24T11:55:41.000Z,2026-07-24T11:56:41.000Z,241.78769324632407,241.4250117064546,loss,-2.999999999999869
530,trade_265,SOL/USD,SHORT,2026-07-24T11:57:42.000Z,2026-07-24T11:58:42.000Z,240.64898344832568,241.00995692349818,loss,-3.0000000000000955
531,trade_266,SOL/USD,SHORT,2026-07-24T11:58:42.000Z,2026-07-24T11:59:42.000Z,240.83934553294898,241.20060455124843,loss,-3.000000000000216
532,trade_268,SOL/USD,SHORT,2026-07-24T12:00:43.000Z,2026-07-24T12:01:43.000Z,241.73172863418543,242.09432622713672,loss,-3.0000000000000897
533,trade_269,SOL/USD,LONG,2026-07-24T12:01:43.000Z,2026-07-24T12:02:43.000Z,241.69184511341592,241.3293073457458,loss,-2.9999999999999605
534,trade_270,SOL/USD,LONG,2026-07-24T12:02:43.000Z,2026-07-24T12:03:43.000Z,241.7161649589909,242.44131345386785,win,5.99999999999979
535,trade_272,SOL/USD,LONG,2026-07-24T12:04:43.000Z,2026-07-24T12:05:43.000Z,241.90180046470698,241.53894776400992,loss,-3.000000000000008
536,trade_273,SOL/USD,LONG,2026-07-24T12:05:44.000Z,2026-07-24T12:06:44.000Z,241.8347008823146,241.47194883099112,loss,-2.9999999999999725
537,trade_277,SOL/USD,LONG,2026-07-24T12:09:45.000Z,2026-07-24T12:10:45.000Z,242.29067003377256,241.9272340287219,loss,-2.9999999999999982
538,trade_278,SOL/USD,LONG,2026-07-24T12:10:45.000Z,2026-07-24T12:11:45.000Z,242.33005828469757,241.96656319727055,loss,-2.9999999999998317
539,trade_279,SOL/USD,LONG,2026-07-24T12:11:45.000Z,2026-07-24T12:12:45.000Z,242.3118388615456,243.0387743781302,win,5.999999999999726
540,trade_285,SOL/USD,SHORT,2026-07-24T12:17:46.000Z,2026-07-24T12:18:46.000Z,243.08675480246225,242.35749453805485,win,6.000000000000116
541,trade_287,SOL/USD,SHORT,2026-07-24T12:19:47.000Z,2026-07-24T12:20:47.000Z,242.1735772216561,242.5368375874886,loss,-3.000000000000151
542,trade_288,SOL/USD,SHORT,2026-07-24T12:20:47.000Z,2026-07-24T12:21:47.000Z,242.33387119524764,242.69737200204054,loss,-3.00000000000023
543,trade_289,SOL/USD,SHORT,2026-07-24T12:21:47.000Z,2026-07-24T12:22:47.000Z,243.1897203134071,243.5545048938772,loss,-3.0000000000000346
544,trade_300,SOL/USD,SHORT,2026-07-24T12:32:50.000Z,2026-07-24T12:33:50.000Z,245.3140921982193,245.68206333651665,loss,-3.0000000000001665
545,trade_303,SOL/USD,SHORT,2026-07-24T12:35:50.000Z,2026-07-24T12:36:50.000Z,245.0773874736323,245.44500355484277,loss,-3.0000000000000693
546,trade_318,SOL/USD,SHORT,2026-07-24T12:50:54.000Z,2026-07-24T12:51:54.000Z,247.1134406786109,247.48411083962884,loss,-3.000000000000083
547,trade_322,SOL/USD,LONG,2026-07-24T12:54:54.000Z,2026-07-24T12:55:54.000Z,247.52811728308777,248.270701634937,win,5.999999999999857
548,trade_326,SOL/USD,SHORT,2026-07-24T12:58:55.000Z,2026-07-24T12:59:55.000Z,248.4191429379279,248.7917716523348,loss,-3.000000000000184
549,trade_328,SOL/USD,LONG,2026-07-24T13:00:56.000Z,2026-07-24T13:01:56.000Z,249.4425206024151,250.19084816422233,win,5.999999999999876
550,trade_332,SOL/USD,LONG,2026-07-24T13:04:57.000Z,2026-07-24T13:05:57.000Z,249.35397771458514,248.97994674801328,loss,-2.999999999999902
551,trade_334,SOL/USD,SHORT,2026-07-24T13:06:57.000Z,2026-07-24T13:07:57.000Z,248.8661681662465,249.25506019296483,loss,-3.1253105199783686
552,trade_335,SOL/USD,SHORT,2026-07-24T13:07:57.000Z,2026-07-24T13:08:57.000Z,248.95231988132895,248.20546292168495,win,6.000000000000042
553,trade_336,SOL/USD,LONG,2026-07-24T13:08:57.000Z,2026-07-24T13:09:57.000Z,249.29799154499491,250.04588551962988,win,5.999999999999821
554,trade_344,SOL/USD,SHORT,2026-07-24T13:16:59.000Z,2026-07-24T13:17:59.000Z,251.24601734087693,250.4922792888543,win,6.000000000000078
555,trade_345,SOL/USD,SHORT,2026-07-24T13:17:59.000Z,2026-07-24T13:18:59.000Z,250.78274083920428,251.1589149504631,loss,-3.0000000000001057
556,trade_351,SOL/USD,SHORT,2026-07-24T13:24:01.000Z,2026-07-24T13:25:01.000Z,253.89006027148434,254.27089536189158,loss,-3.0000000000000377
557,trade_352,SOL/USD,LONG,2026-07-24T13:25:01.000Z,2026-07-24T13:26:01.000Z,253.84060522389947,253.45984431606362,loss,-3.000000000000003
558,trade_357,SOL/USD,SHORT,2026-07-24T13:30:02.000Z,2026-07-24T13:31:02.000Z,252.79804277838969,253.1772398425573,loss,-3.000000000000225
559,trade_362,SOL/USD,SHORT,2026-07-24T13:35:03.000Z,2026-07-24T13:36:03.000Z,253.81863049504983,253.05717460356468,win,6.000000000000049
560,trade_363,SOL/USD,SHORT,2026-07-24T13:36:03.000Z,2026-07-24T13:37:03.000Z,253.23800745333202,253.61786446451202,loss,-3.0000000000000746
561,trade_365,SOL/USD,SHORT,2026-07-24T13:38:04.000Z,2026-07-24T13:39:04.000Z,254.02726440540025,254.40830530200836,loss,-3.0000000000000973
562,trade_366,SOL/USD,SHORT,2026-07-24T13:39:04.000Z,2026-07-24T13:40:04.000Z,254.16231870223038,253.39983174612368,win,6.0000000000000595
563,trade_369,SOL/USD,SHORT,2026-07-24T13:42:05.000Z,2026-07-24T13:43:05.000Z,253.59952551076094,253.9799247990271,loss,-3.0000000000000484
564,trade_375,SOL/USD,LONG,2026-07-24T13:48:06.000Z,2026-07-24T13:49:06.000Z,252.8290812306908,252.44983760884477,loss,-2.9999999999999476
565,trade_376,SOL/USD,LONG,2026-07-24T13:49:06.000Z,2026-07-24T13:50:06.000Z,253.12865861102296,253.888044586856,win,5.9999999999998925
566,trade_380,SOL/USD,SHORT,2026-07-24T13:53:07.000Z,2026-07-24T13:54:07.000Z,254.75713239166063,253.99286099448565,win,5.999999999999985
567,trade_383,SOL/USD,SHORT,2026-07-24T13:56:08.000Z,2026-07-24T13:57:08.000Z,252.76391173814787,253.1430576057551,loss,-3.000000000000106
568,trade_384,SOL/USD,SHORT,2026-07-24T13:57:08.000Z,2026-07-24T13:58:08.000Z,253.88064285448277,254.2614638187645,loss,-3.0000000000000036
569,trade_385,SOL/USD,SHORT,2026-07-24T13:58:08.000Z,2026-07-24T13:59:08.000Z,254.46135828870217,254.84305032613523,loss,-3.0000000000000138
570,trade_387,SOL/USD,SHORT,2026-07-24T14:00:09.000Z,2026-07-24T14:01:09.000Z,255.53251289355552,255.91581166289586,loss,-3.000000000000072
571,trade_388,SOL/USD,SHORT,2026-07-24T14:01:09.000Z,2026-07-24T14:02:09.000Z,255.2477311773277,255.6306027740937,loss,-3.000000000000024
572,trade_390,SOL/USD,SHORT,2026-07-24T14:03:10.000Z,2026-07-24T14:04:10.000Z,255.30458085168462,255.68753772296216,loss,-3.000000000000123
573,trade_391,SOL/USD,SHORT,2026-07-24T14:04:10.000Z,2026-07-24T14:05:10.000Z,255.07286120026063,254.30764261665985,win,6.000000000000021
574,trade_394,SOL/USD,LONG,2026-07-24T14:07:11.000Z,2026-07-24T14:08:11.000Z,253.81596005704964,253.43523611696406,loss,-2.999999999999993
575,trade_396,SOL/USD,SHORT,2026-07-24T14:09:11.000Z,2026-07-24T14:10:11.000Z,254.40746387276755,254.78907506857672,loss,-3.000000000000155
576,trade_398,SOL/USD,SHORT,2026-07-24T14:11:12.000Z,2026-07-24T14:12:12.000Z,255.2580262029137,255.6409132422181,loss,-3.0000000000001745
577,trade_407,SOL/USD,LONG,2026-07-24T14:20:13.000Z,2026-07-24T14:21:13.000Z,258.42497761276263,258.0373401463435,loss,-2.9999999999997184
578,trade_410,SOL/USD,LONG,2026-07-24T14:23:14.000Z,2026-07-24T14:24:14.000Z,257.5380145213769,257.15170749959486,loss,-2.999999999999842
579,trade_419,SOL/USD,SHORT,2026-07-24T14:32:16.000Z,2026-07-24T14:33:16.000Z,259.4910765266962,259.89867422747335,loss,-3.141516126356866
580,trade_425,SOL/USD,LONG,2026-07-24T14:38:17.000Z,2026-07-24T14:39:17.000Z,261.6143964280376,262.39923961732165,win,5.999999999999603
581,trade_432,SOL/USD,SHORT,2026-07-24T14:45:19.000Z,2026-07-24T14:46:19.000Z,265.55509387674306,265.95342651755817,loss,-2.999999999999987
582,trade_440,SOL/USD,SHORT,2026-07-24T14:53:21.000Z,2026-07-24T14:54:21.000Z,265.6412363489537,266.0448077066471,loss,-3.0384692018464268
583,trade_441,SOL/USD,LONG,2026-07-24T14:54:21.000Z,2026-07-24T14:55:21.000Z,266.63203469994636,266.2237875647371,loss,-3.062251208251634
584,trade_442,SOL/USD,LONG,2026-07-24T14:55:21.000Z,2026-07-24T14:56:21.000Z,266.67992584230603,267.49769032237333,win,6.132928659586169
585,trade_447,SOL/USD,LONG,2026-07-24T15:00:22.000Z,2026-07-24T15:01:22.000Z,267.35079346647524,268.15284584687464,win,5.999999999999826
586,trade_449,SOL/USD,LONG,2026-07-24T15:02:23.000Z,2026-07-24T15:03:23.000Z,268.23456601099355,269.0392697090265,win,5.999999999999683
587,trade_452,SOL/USD,LONG,2026-07-24T15:05:24.000Z,2026-07-24T15:06:24.000Z,268.9499029541701,268.54647809973886,loss,-2.9999999999999645
588,trade_453,SOL/USD,SHORT,2026-07-24T15:06:24.000Z,2026-07-24T15:07:24.000Z,267.76142983743915,268.16307198219533,loss,-3.000000000000167
589,trade_454,SOL/USD,LONG,2026-07-24T15:07:24.000Z,2026-07-24T15:08:24.000Z,267.86931552080085,267.4675115475197,loss,-2.9999999999998095
590,trade_455,SOL/USD,SHORT,2026-07-24T15:08:24.000Z,2026-07-24T15:09:24.000Z,267.63428927990265,266.83138641206295,win,5.999999999999876
591,trade_457,SOL/USD,SHORT,2026-07-24T15:10:25.000Z,2026-07-24T15:11:25.000Z,266.8990710360233,267.2994196425774,loss,-3.000000000000304
592,trade_458,SOL/USD,SHORT,2026-07-24T15:11:25.000Z,2026-07-24T15:12:25.000Z,266.3938111030041,266.79340181965864,loss,-3.0000000000001745
593,trade_459,SOL/USD,SHORT,2026-07-24T15:12:25.000Z,2026-07-24T15:13:25.000Z,267.4141743009529,267.81529556240434,loss,-3.000000000000265
594,trade_460,SOL/USD,SHORT,2026-07-24T15:13:25.000Z,2026-07-24T15:14:25.000Z,266.9930196552559,267.39350918473883,loss,-3.0000000000002043
595,trade_461,SOL/USD,SHORT,2026-07-24T15:14:26.000Z,2026-07-24T15:15:26.000Z,266.38330066067147,265.5841507586895,win,5.999999999999826
596,trade_463,SOL/USD,LONG,2026-07-24T15:16:26.000Z,2026-07-24T15:17:26.000Z,265.54007343740926,266.33669365772147,win,5.99999999999984
597,trade_465,SOL/USD,LONG,2026-07-24T15:18:27.000Z,2026-07-24T15:19:27.000Z,265.28898855445357,266.0848555201169,win,5.999999999999708
